Time (days),up1,up2,up3,up4,up5,up6,up7,up8,up9,up10,up11,up12,up13,up14,up15
119.98,.1905507,.1618547,.1387531,.1177170,.0998749,.0847330,.0718601,.0609655,.0517421,.0114252,.0105236,.0000000,.0000000,.0000000,.0000000
120.98,.1902729,.1617569,.1388337,.1177854,.0999334,.0847826,.0719009,.0610001,.0517726,.0114319,.0105298,.0000000,.0000000,.0000000,.0000000
121.98,.1915768,.1625627,.1383792,.1173998,.0996022,.0845017,.0716777,.0608108,.0516006,.0113940,.0104948,.0000000,.0000000,.0000000,.0000000
122.98,.1915523,.1625436,.1383887,.1174079,.0996091,.0845076,.0716820,.0608144,.0516042,.0113948,.0104955,.0000000,.0000000,.0000000,.0000000
123.98,.1915265,.1625235,.1383987,.1174164,.0996165,.0845138,.0716865,.0608183,.0516080,.0113956,.0104963,.0000000,.0000000,.0000000,.0000000
124.98,.1914701,.1624795,.1384205,.1174348,.0996322,.0845271,.0716971,.0608272,.0516162,.0113974,.0104979,.0000000,.0000000,.0000000,.0000000
125.98,.1913650,.1624390,.1384519,.1174615,.0996549,.0845464,.0717126,.0608404,.0516280,.0114000,.0105004,.0000000,.0000000,.0000000,.0000000
126.98,.1912404,.1623954,.1384881,.1174922,.0996811,.0845686,.0717307,.0608557,.0516416,.0114030,.0105031,.0000000,.0000000,.0000000,.0000000
127.98,.1912406,.1623955,.1384879,.1174921,.0996811,.0845686,.0717307,.0608558,.0516416,.0114030,.0105031,.0000000,.0000000,.0000000,.0000000
128.98,.1911516,.1623369,.1385197,.1175190,.0997042,.0845882,.0717464,.0608691,.0516536,.0114057,.0105056,.0000000,.0000000,.0000000,.0000000
129.98,.1910525,.1622716,.1385552,.1175491,.0997298,.0846099,.0717640,.0608840,.0516670,.0114086,.0105083,.0000000,.0000000,.0000000,.0000000
130.98,.1907936,.1622288,.1386199,.1176040,.0997767,.0846497,.0717968,.0609118,.0516914,.0114140,.0105132,.0000000,.0000000,.0000000,.0000000
131.98,.1905783,.1621088,.1386919,.1176651,.0998288,.0846939,.0718333,.0609428,.0517185,.0114200,.0105188,.0000000,.0000000,.0000000,.0000000
132.98,.1901984,.1620605,.1387830,.1177424,.0998949,.0847500,.0718812,.0609834,.0517529,.0114276,.0105258,.0000000,.0000000,.0000000,.0000000
133.98,.1898627,.1619898,.1388699,.1178161,.0999580,.0848035,.0719257,.0610212,.0517858,.0114349,.0105324,.0000000,.0000000,.0000000,.0000000
134.98,.1891793,.1618008,.1390566,.1179745,.1000930,.0849180,.0720219,.0611028,.0518560,.0114504,.0105467,.0000000,.0000000,.0000000,.0000000
135.98,.1878159,.1616707,.1393759,.1182453,.1003247,.0851146,.0721863,.0612422,.0519763,.0114769,.0105712,.0000000,.0000000,.0000000,.0000000
136.98,.1862262,.1613478,.1397825,.1185903,.1006215,.0853664,.0723988,.0614226,.0521304,.0115110,.0106025,.0000000,.0000000,.0000000,.0000000
137.98,.1840299,.1611356,.1402955,.1190255,.1009947,.0856830,.0726664,.0616495,.0523241,.0115537,.0106419,.0000000,.0000000,.0000000,.0000000
138.98,.1798747,.1609280,.1412273,.1198161,.1016691,.0862551,.0731509,.0620606,.0526742,.0116310,.0107131,.0000000,.0000000,.0000000,.0000000
139.98,.1813057,.1598965,.1411339,.1197368,.1016107,.0862056,.0731095,.0620255,.0526443,.0116244,.0107071,.0000000,.0000000,.0000000,.0000000
140.98,.1917231,.1607903,.1387183,.1176875,.0998634,.0847232,.0718505,.0609573,.0517390,.0114245,.0105229,.0000000,.0000000,.0000000,.0000000
141.98,.1916115,.1604323,.1388148,.1177694,.0999380,.0847864,.0719038,.0610026,.0517774,.0114330,.0105307,.0000000,.0000000,.0000000,.0000000
142.98,.1915233,.1603068,.1388633,.1178105,.0999697,.0848133,.0719266,.0610220,.0517938,.0114366,.0105341,.0000000,.0000000,.0000000,.0000000
