TIMESTAMP,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,RNET.y,SkyT,Tcan_Avg_corr,Tair,RH
2.02E+11,0,0,0,324.4,329.83,-5.4593,2.026439619,NA,4.56,66.06
2.02E+11,0,0,0,325.23,330.8,-5.5553,2.202189659,NA,4.84,62.98
2.02E+11,0,0,0,325.5,333.43,-7.9193,2.259288843,NA,5.41,58.32
2.02E+11,0,0,0,326.23,333.27,-7.0147,2.413490463,NA,5.22,60.07
2.02E+11,0,0,0,326.8,333.2,-6.3943,2.533714641,NA,5.21,60.43
2.02E+11,0,0,0,325.93,331.87,-5.9873,2.350151289,NA,4.87,64.65
2.02E+11,0,0,0,324.33,331.07,-6.7203,2.011601912,NA,4.59,68.41
2.02E+11,0,0,0,314.37,329.13,-14.8,-0.124522271,NA,4.15,73.16
2.02E+11,0,0,0,281.7,327.6,-45.903,-7.508300836,NA,3.91,76.28
2.02E+11,0,0,0,272.3,327.2,-54.923,-9.751354297,NA,3.96,76.3
2.02E+11,0,0,0,274.63,328.4,-53.763,-9.190014832,NA,4.07,74.92
2.02E+11,0,0,0,281.43,328.5,-47.023,-7.571939936,NA,4.07,75.47
2.02E+11,0,0,0,277.8,328.7,-50.89,-8.432011369,NA,4.13,75.32
2.02E+11,0,0,0,301.4,328.93,-27.507,-2.983659348,NA,4.19,74.92
2.02E+11,0,0,0,306.93,329.47,-22.477,-1.753545529,NA,4.34,73.8
2.02E+11,0,0,0,306.6,329.87,-23.293,-1.82648353,NA,4.36,74.02
2.02E+11,0,0,0,298.07,329.53,-31.423,-3.732584325,NA,4.29,75.7
2.02E+11,0,0,0,283.43,329.43,-46.003,-7.101621166,NA,4.46,75.46
2.02E+11,0,0,0,283.77,329.57,-45.787,-7.021914706,NA,4.52,74.29
2.02E+11,0,0,0,273.27,330.87,-57.6,-9.517227613,NA,4.88,71.85
2.02E+11,0,0,0,278.17,331.8,-53.623,-8.343961241,NA,5.1,71.08
2.02E+11,0,0,0,305.2,332.77,-27.573,-2.136573822,NA,5.17,69.91
2.02E+11,0,0,0,317.6,333.3,-15.683,0.573709165,NA,5.18,70.34
2.02E+11,0,0,0,274.63,331.17,-56.503,-9.190014832,NA,4.97,71.91
2.02E+11,0,0,0,271.3,330.23,-58.897,-9.993377763,NA,4.84,71.37
2.02E+11,8.2655,0,0,271.17,329.6,-58.407,-10.02488993,NA,4.69,72.77
